Ano,Periodo,Tasa de paro,mujeres_paro,hombres_paro,Tasa_de_paro_juvenil,variacion_PIB_anual
2003,Q 2,11.28,15.68,8.27,22.28,2.86
2003,Q 3,11.30,15.54,8.39,22.19,2.90
2003,Q 4,11.37,15.41,8.58,22.93,3.00
2004,Q 1,11.50,15.54,8.68,22.65,2.65
2004,Q 2,11.09,15.04,8.33,22.46,3.14
2004,Q 3,10.74,14.36,8.20,21.63,3.44
2004,Q 4,10.53,14.35,7.83,21.27,3.26
2005,Q 1,10.17,13.46,7.84,21.70,3.64
2005,Q 2,9.32,12.00,7.41,20.29,3.55
2005,Q 3,8.41,11.04,6.56,18.01,3.56
2005,Q 4,8.70,11.47,6.73,18.62,3.90
2006,Q 1,9.03,12.03,6.86,18.71,4.06
2006,Q 2,8.44,11.28,6.38,18.20,4.14
2006,Q 3,8.08,10.91,6.05,16.90,4.12
2006,Q 4,8.26,11.17,6.12,17.81,4.06
2007,Q 1,8.42,11.23,6.34,17.72,3.83
2007,Q 2,7.93,10.35,6.15,18.12,3.76
2007,Q 3,8.01,10.39,6.25,17.87,3.59
2007,Q 4,8.57,10.83,6.89,18.66,3.26
2008,Q 1,9.60,11.88,7.90,21.08,2.56
2008,Q 2,10.36,12.08,9.06,23.62,1.76
2008,Q 3,11.23,12.48,10.29,24.18,0.78
2008,Q 4,13.79,14.85,12.96,28.97,-1.45
2009,Q 1,17.24,17.75,16.84,35.54,-4.20
2009,Q 2,17.77,18.04,17.56,38.06,-4.34
2009,Q 3,17.75,17.91,17.62,38.57,-3.96
2009,Q 4,18.66,18.80,18.55,38.81,-2.44
2010,Q 1,19.84,19.90,19.80,40.73,0.11
2010,Q 2,19.89,20.30,19.56,41.98,0.28
2010,Q 3,19.59,20.19,19.12,40.56,0.02
2010,Q 4,20.11,20.51,19.80,42.73,0.12
2011,Q 1,21.08,21.66,20.60,45.30,-0.01
2011,Q 2,20.64,20.92,20.42,45.86,-0.46
2011,Q 3,21.28,21.75,20.90,45.58,-1.05
2011,Q 4,22.56,22.92,22.26,48.14,-1.74
2012,Q 1,24.19,24.46,23.96,51.67,-2.52
2012,Q 2,24.40,24.36,24.43,53.03,-3.16
2012,Q 3,24.79,25.10,24.54,52.01,-3.01
2012,Q 4,25.77,26.22,25.40,54.83,-3.15
2013,Q 1,26.94,27.26,26.66,56.92,-2.53
2013,Q 2,26.06,26.71,25.50,55.98,-1.66
2013,Q 3,25.65,26.18,25.19,54.14,-1.23
2013,Q 4,25.73,26.53,25.04,54.89,-0.29
2014,Q 1,25.93,26.57,25.37,55.49,0.40
2014,Q 2,24.47,25.38,23.70,53.12,0.94
2014,Q 3,23.67,25.01,22.53,52.39,1.75
2014,Q 4,23.70,24.74,22.80,51.80,2.45
2015,Q 1,23.78,24.98,22.74,51.36,3.25
2015,Q 2,22.37,24.01,20.96,49.21,3.87
2015,Q 3,21.18,22.68,19.90,46.58,4.05
2015,Q 4,20.90,22.52,19.49,46.25,4.16
2016,Q 1,21.00,22.78,19.45,46.50,3.67
2016,Q 2,20.00,21.82,18.41,46.48,3.02
2016,Q 3,18.91,20.66,17.39,41.94,2.98
2016,Q 4,18.63,20.25,17.22,42.92,2.48
2017,Q 1,18.75,20.51,17.22,41.66,2.55
2017,Q 2,17.22,19.05,15.64,39.53,3.16
2017,Q 3,16.38,18.21,14.80,35.97,2.82
2017,Q 4,16.55,18.35,14.97,37.47,3.03
2018,Q 1,16.74,18.54,15.18,36.34,2.77
2018,Q 2,15.28,17.08,13.72,34.68,2.29
2018,Q 3,14.55,16.22,13.12,33.00,2.24
2018,Q 4,14.45,16.26,12.88,33.53,2.12
2019,Q 1,14.70,16.74,12.91,34.97,2.15
2019,Q 2,14.02,15.78,12.49,33.15,1.96
2019,Q 3,13.92,15.92,12.18,31.67,1.86
2019,Q 4,13.78,15.55,12.23,30.52,1.78
2020,Q 1,14.41,16.24,12.79,32.99,-4.27
2020,Q 2,15.33,16.72,14.13,39.61,-21.60
2020,Q 3,16.26,18.39,14.39,40.45,-8.55
2020,Q 4,16.13,18.33,14.17,40.14,-8.92
2021,Q 1,15.98,18.13,14.07,39.53,-4.30
