Item,Periodo,Tada_de_paro,mujeres_paro,hombres_paro,Tasa_de_paro_juvenil,variacion_PIB_anual
1,2003,11.32,15.54,8.41,22.47,2.92
2,2004,10.97,14.82,8.26,22,3.12
3,2005,9.15,11.99,7.14,19.66,3.66
4,2006,8.45,11.35,6.35,17.91,4.1
5,2007,8.23,10.7,6.41,18.09,3.61
6,2008,11.25,12.82,10.05,24.46,0.91
7,2009,17.86,18.13,17.64,37.75,-3.74
8,2010,19.86,20.23,19.57,41.5,0.13
9,2011,21.39,21.81,21.05,46.22,-0.82
10,2012,24.79,25.04,24.58,52.89,-2.96
11,2013,26.1,26.67,25.6,55.48,-1.43
12,2014,24.44,25.43,23.6,53.2,1.39
13,2015,22.06,23.55,20.77,48.35,3.83
14,2016,19.64,21.38,18.12,44.46,3.04
15,2017,17.23,19.03,15.66,38.66,2.89
16,2018,15.26,17.03,13.73,34.39,2.36
17,2019,14.11,16,12.45,32.58,1.94
18,2020,15.53,17.42,13.87,38.3,-10.84
19,2021,15.98,18.13,14.07,39.53,-4.3
